"GEOID","Year","Median AQI","rate_notgood_aqi"
"40071",2018,51,0.00547945205479452
"40079",2018,34,0
"40085",2018,43,0.0257352941176471
"40097",2018,37,0.00383141762452107
"40087",2018,38,0.00934579439252336
"40101",2018,19,0.00576368876080692
"40105",2018,48,0
"40109",2018,52,0.0246575342465753
"20139",2018,36,0.0194986072423398
"20143",2018,52,0.00273972602739726
"40121",2018,46,0.00275482093663912
"40135",2018,41,0
"40143",2018,56,0.0219178082191781
"01129",2018,53,0
"12003",2018,32,0.00576368876080692
"05007",2018,22,0.00552486187845304
"41005",2018,37,0.0283018867924528
"05027",2018,28,0.0110192837465565
"41013",2018,34,0.0192837465564738
"41017",2018,27,0.0385674931129477
"08035",2018,29,0.00595238095238095
"05053",2018,45,0.00828729281767956
"41025",2018,39,0.0165745856353591
"01071",2018,48,0.115384615384615
"01073",2018,49,0.0326086956521739
"41033",2018,47,0.107438016528926
"41035",2018,49,0.111111111111111
"06033",2018,34,0.0614525139664804
"20101",2018,44,0.0219178082191781
"19113",2018,36,0.0136986301369863
"01093",2018,35,0.0166204986149584
"41051",2018,37,0.0246575342465753
"41059",2018,36,0.024024024024024
"05139",2018,32,0.0165745856353591
"41063",2018,28,0.0060790273556231
"41065",2018,37,0.0149700598802395
"01129",2018,36,0.0191780821917808
"08001",2018,44,0.00547945205479452
"42003",2018,58,0.0356164383561644
"42005",2018,42,0.00277777777777778
"40007",2018,52,0.0164383561643836
"42011",2018,44,0.0136986301369863
"42013",2018,42,0.00278551532033426
"12007",2018,37,0
"42017",2018,33,0.036036036036036
"42021",2018,44,0
"42027",2018,44,0.00547945205479452
"42029",2018,44,0.00278551532033426
"42033",2018,33,0.00291545189504373
"17035",2018,48,0
"42043",2018,44,0.00273972602739726
"18035",2018,56,0.0164383561643836
"20049",2018,34,0
"36029",2018,44,0
"01057",2018,42,0.0043859649122807
"01059",2018,32,0
"01063",2018,39,0
"42063",2018,35,0.0028169014084507
"42069",2018,41,0
"31109",2018,52,0.0136986301369863
"01079",2018,32,0
"42075",2018,47,0.00547945205479452
"42077",2018,43,0.00547945205479452
"42079",2018,32,0.00273972602739726
"42081",2018,31,0
"17131",2018,43,0.00821917808219178
"01099",2018,36,0.00563380281690141
"01101",2018,41,0.0198863636363636
"37131",2018,48,0.0136986301369863
"42101",2018,54,0.0273972602739726
"23025",2018,33,0
"42115",2018,32,0
"36107",2018,37,0
"01129",2018,52,0.00547945205479452
"42129",2018,40,0.0054945054945055
"23031",2018,45,0.00273972602739726
"72001",2018,19,0
"72",2018,56,0.0492424242424242
"72025",2018,9,0
"72",2018,47,0.00699300699300699
"72053",2018,26,0
"72061",2018,10,0.00993377483443709
"72113",2018,55,0.0140056022408964
"10001",2018,36,0.0169491525423729
"44007",2018,47,0.0219178082191781
"01129",2018,35,0.0138504155124654
"45003",2018,42,0
"20003",2018,35,0
"45015",2018,33,0
"45019",2018,41,0
"45025",2018,36,0.0029585798816568
"45029",2018,36,0
"45031",2018,40,0
"45037",2018,39,0
"45041",2018,39,0
"45043",2018,15,0
"45045",2018,44,0
"45051",2018,37,0
"45063",2018,43,0
"13219",2018,35,0
"01107",2018,40,0
"17159",2018,41,0.00273972602739726
"45083",2018,44,0
"23031",2018,39,0.00847457627118644
"46011",2018,38,0.00273972602739726
"17009",2018,32,0.0165289256198347
"46029",2018,39,0.00273972602739726
"08027",2018,41,0
"40063",2018,18,0.00282485875706215
"01071",2018,42,0.00273972602739726
"20119",2018,29,0
"46099",2018,40,0.00821917808219178
"27113",2018,36,0.00547945205479452
"05139",2018,43,0.00821917808219178
"20003",2018,40,0
"01009",2018,48,0.00273972602739726
"22027",2018,34,0
"37057",2018,52,0.0136986301369863
"01049",2018,33,0
"47045",2018,38,0
"12047",2018,48,0.00273972602739726
"01073",2018,42,0
"17095",2018,50,0.00274725274725275
"01079",2018,36,0
"47105",2018,39,0.00273972602739726
"01089",2018,35,0
"47119",2018,36,0
"47107",2018,39,0
"01101",2018,40,0
"12107",2018,36,0
"47145",2018,36,0
"05133",2018,43,0.010989010989011
"01117",2018,46,0.0219178082191781
"18153",2018,43,0.00274725274725275
"20191",2018,41,0.00578034682080925
"17199",2018,39,0.00408163265306122
"20205",2018,38,0.0104712041884817
"21013",2018,36,0.0136986301369863
"48029",2018,49,0.0301369863013699
